Variante,Seite_Median,Zoom_AP,Zoom_PA,Zoom_Differenz,kein_Zuschnitt_AP,kein_Zuschnitt_PA,AUC_Fenstergroesse_zu_APPA,AUC_Geometrie_zu_APPA,AUC_Geometrie_zu_Label_geschichtet,Boxflaeche_erhalten,Anteil_Bilder_unter_90,Anteil_Box_ganz_weg
IST: hull d8 pad.05,0.8809,1.1973,1.1175,0.0799,0.0534,0.1363,0.6853,0.7144,0.5516,0.9972,0.0070,0.0002
pad 0.02,0.8328,1.2649,1.1779,0.0870,0.0093,0.0265,0.6856,0.7202,0.5504,0.9955,0.0111,0.0004
pad 0.00,0.8008,1.3154,1.2246,0.0908,0.0007,0.0031,0.6856,0.7216,0.5505,0.9933,0.0167,0.0004
d4 pad.05,0.8465,1.2471,1.1588,0.0883,0.0245,0.0610,0.6832,0.7148,0.5503,0.9959,0.0099,0.0004
d0 pad.05,0.8121,1.3031,1.2060,0.0971,0.0083,0.0201,0.6827,0.7159,0.5502,0.9935,0.0159,0.0004
d0 pad0,0.7383,1.4332,1.3261,0.1071,0.0000,0.0000,0.6826,0.7174,0.5512,0.9807,0.0592,0.0006
default d0 pad0,0.7383,1.4339,1.3262,0.1077,0.0000,0.0000,0.6838,0.7185,0.5520,0.9806,0.0600,0.0006
raw d0 pad0,0.7578,1.3672,1.3189,0.0483,0.0000,0.0000,0.5833,0.6311,0.5332,0.9850,0.0485,0.0002
d0 pad0 q1%,0.6953,1.5221,1.4029,0.1192,0.0000,0.0000,0.7038,0.7414,0.5475,0.9635,0.1259,0.0008
d0 pad0 q2%,0.6719,1.5748,1.4496,0.1252,0.0000,0.0000,0.7111,0.7482,0.5461,0.9471,0.1932,0.0008
d0 pad.05 q1%,0.7648,1.3837,1.2754,0.1084,0.0007,0.0014,0.7038,0.7430,0.5466,0.9883,0.0349,0.0006
FIX .85 (bbox-Mitte),0.8500,1.1765,1.1765,0.0000,0.0000,0.0000,0.5000,0.5606,0.5230,0.9982,0.0050,0.0000
FIX .80,0.8000,1.2500,1.2500,0.0000,0.0000,0.0000,0.5000,0.5545,0.5273,0.9955,0.0136,0.0002
FIX .75,0.7500,1.3333,1.3333,0.0000,0.0000,0.0000,0.5000,0.5504,0.5304,0.9890,0.0324,0.0004
FIX .70,0.7000,1.4286,1.4286,0.0000,0.0000,0.0000,0.5000,0.5487,0.5314,0.9737,0.0873,0.0004
FIX .65,0.6500,1.5385,1.5385,0.0000,0.0000,0.0000,0.5000,0.5479,0.5315,0.9423,0.2243,0.0006
FIX .60,0.6000,1.6667,1.6667,0.0000,0.0000,0.0000,0.5000,0.5476,0.5315,0.8863,0.4284,0.0010
FIX .75 Schwerpunkt,0.7500,1.3333,1.3333,0.0000,0.0000,0.0000,0.5000,0.5751,0.5280,0.9843,0.0475,0.0004
FIX .70 Schwerpunkt,0.7000,1.4286,1.4286,0.0000,0.0000,0.0000,0.5000,0.5732,0.5305,0.9650,0.1282,0.0004
Centercrop .75 (o. Maske),0.7500,1.3333,1.3333,0.0000,0.0000,0.0000,0.5000,0.5000,0.5000,0.9752,0.0935,0.0000
